Strike,Moneyness,Bid,Mid,Ask,Last,Change,%Change,Volume,"Open Int","OI Chg",IV,Delta,Type,"Last Trade"
25.00,+89.07%,203.10,204.00,204.90,209.72,unch,unch,0,419,unch,211.22%,0.9989,Call,10/08/25
30.00,+86.88%,198.20,199.05,199.90,206.30,unch,unch,0,163,unch,197.84%,0.9985,Call,10/15/25
35.00,+84.70%,193.20,193.98,194.75,199.75,unch,unch,0,17,unch,0.00%,0.0000,Call,10/15/25
40.00,+82.51%,188.30,189.10,189.90,176.24,unch,unch,0,18,unch,166.54%,0.9985,Call,10/13/25
45.00,+80.33%,183.25,184.13,185.00,174.11,unch,unch,0,318,unch,153.75%,0.9985,Call,10/13/25
50.00,+78.14%,178.40,179.10,179.80,167.46,unch,unch,0,691,unch,123.56%,0.9996,Call,10/10/25
55.00,+75.96%,173.35,174.13,174.90,177.43,unch,unch,0,176,unch,108.85%,0.9998,Call,10/17/25
60.00,+73.77%,168.50,169.30,170.10,162.15,unch,unch,0,332,unch,138.02%,0.9967,Call,10/08/25
65.00,+71.58%,163.45,164.33,165.20,175.38,unch,unch,0,180,unch,129.27%,0.9967,Call,10/21/25
70.00,+69.40%,158.55,159.30,160.05,159.87,-7.99,-4.76%,2,268,unch,150.74%,0.9888,Call,"12:25 ET"
75.00,+67.21%,153.55,154.43,155.30,153.98,unch,unch,0,377,unch,118.35%,0.9955,Call,10/10/25
80.00,+65.03%,148.55,149.55,150.55,152.21,unch,unch,0,865,unch,118.17%,0.9934,Call,10/17/25
85.00,+62.84%,143.70,144.58,145.45,156.02,unch,unch,0,643,unch,111.36%,0.9932,Call,10/20/25
90.00,+60.65%,139.05,139.60,140.15,144.88,unch,unch,0,"1,104",unch,104.95%,0.9929,Call,10/15/25
95.00,+58.47%,134.10,134.68,135.25,142.73,unch,unch,0,"8,941",unch,101.45%,0.9916,Call,10/16/25
100.00,+56.28%,129.25,129.75,130.25,130.50,-7.50,-5.43%,3,"4,322",+1,97.85%,0.9902,Call,"11:25 ET"
