Strike,Moneyness,Bid,Mid,Ask,Last,Change,%Change,Volume,"Open Int","OI Chg",IV,Delta,Type,Time
0.50,+99.76%,206.00,206.70,207.40,209.58,+8.58,+4.27%,37,"62,498",+31,704.42%,0.9997,Call,10/29/25
1.00,+99.52%,205.60,206.85,208.10,206.09,+5.54,+2.76%,"1,356","13,384",-9,468.19%,0.9998,Call,10/29/25
1.50,+99.28%,204.00,205.63,207.25,193.52,unch,unch,0,"1,611",-2,451.53%,0.9996,Call,10/28/25
2.00,+99.03%,204.40,205.10,205.80,203.90,+6.75,+3.42%,14,"16,079",+13,393.68%,0.9997,Call,10/29/25
2.50,+98.79%,202.80,204.55,206.30,187.37,unch,unch,0,663,unch,0.00%,0.0000,Call,10/27/25
3.00,+98.55%,203.40,204.25,205.10,178.60,unch,unch,0,"2,070",unch,422.68%,0.9991,Call,10/14/25
3.50,+98.31%,202.00,203.75,205.50,189.40,unch,unch,0,5,unch,401.69%,0.9990,Call,10/09/25
4.00,+98.07%,201.50,203.25,205.00,173.40,unch,unch,0,50,unch,383.96%,0.9990,Call,09/25/25
4.50,+97.83%,201.00,202.75,204.50,173.28,unch,unch,0,1,unch,368.63%,0.9990,Call,08/19/25
5.00,+97.59%,200.80,201.83,202.85,201.60,+16.40,+8.86%,1,899,unch,0.00%,0.0000,Call,10/29/25
5.50,+97.34%,199.85,201.58,203.30,172.51,unch,unch,0,171,unch,0.00%,0.0000,Call,08/19/25
6.00,+97.10%,199.55,201.28,203.00,179.80,unch,unch,0,471,unch,338.83%,0.9987,Call,10/07/25
7.00,+96.62%,198.40,200.20,202.00,176.00,unch,unch,0,312,unch,297.82%,0.9991,Call,08/12/25
8.00,+96.14%,197.45,199.23,201.00,180.11,unch,unch,0,136,unch,289.68%,0.9989,Call,10/10/25
9.00,+95.65%,196.30,198.08,199.85,192.95,unch,unch,0,214,-3,0.00%,0.0000,Call,10/28/25
10.00,+95.17%,196.50,197.30,198.10,197.77,+8.77,+4.64%,4,"15,583",+6,343.87%,0.9964,Call,10/29/25
11.00,+94.69%,194.60,196.33,198.05,166.10,unch,unch,0,36,unch,274.60%,0.9983,Call,09/18/25
12.00,+94.20%,193.60,195.33,197.05,169.48,unch,unch,0,157,unch,263.99%,0.9983,Call,08/26/25
13.00,+93.72%,192.60,194.33,196.05,178.28,unch,unch,0,208,unch,254.25%,0.9983,Call,10/27/25
14.00,+93.24%,191.60,193.35,195.10,141.65,unch,unch,0,292,unch,249.72%,0.9981,Call,06/26/25
15.00,+92.76%,191.60,192.73,193.85,186.49,unch,unch,0,846,unch,284.35%,0.9959,Call,10/28/25
16.00,+92.27%,189.65,191.38,193.10,166.89,unch,unch,0,"1,463",unch,237.59%,0.9979,Call,10/17/25
17.00,+91.79%,188.65,190.38,192.10,158.43,unch,unch,0,470,unch,230.22%,0.9979,Call,09/16/25
18.00,+91.31%,187.65,189.38,191.10,170.00,unch,unch,0,561,unch,223.26%,0.9979,Call,10/03/25
19.00,+90.82%,186.65,188.30,189.95,158.16,unch,unch,0,367,unch,202.34%,0.9986,Call,09/10/25
20.00,+90.34%,186.70,187.80,188.90,187.68,+26.09,+16.15%,15,"1,231",unch,243.71%,0.9956,Call,10/29/25
21.00,+89.86%,184.55,186.23,187.90,157.34,unch,unch,0,551,unch,148.47%,0.9998,Call,10/22/25
22.00,+89.37%,183.70,185.35,187.00,177.55,unch,unch,0,471,-1,194.20%,0.9983,Call,10/28/25
23.00,+88.89%,182.70,184.43,186.15,160.10,unch,unch,0,474,unch,200.67%,0.9975,Call,10/17/25
24.00,+88.41%,181.70,183.45,185.20,157.25,unch,unch,0,"1,080",unch,198.75%,0.9973,Call,10/15/25
25.00,+87.93%,180.80,182.45,184.10,158.15,unch,unch,0,"1,130",unch,193.76%,0.9974,Call,10/20/25
26.00,+87.44%,179.75,181.38,183.00,177.40,unch,unch,0,196,unch,177.44%,0.9982,Call,10/28/25
27.00,+86.96%,178.75,180.48,182.20,158.80,unch,unch,0,816,unch,187.41%,0.9972,Call,10/24/25
28.00,+86.48%,177.75,179.48,181.20,152.65,unch,unch,0,147,unch,182.93%,0.9972,Call,10/15/25
29.00,+85.99%,176.75,178.40,180.05,153.38,unch,unch,0,226,unch,167.65%,0.9981,Call,10/16/25
30.00,+85.51%,176.70,177.48,178.25,176.50,+12.65,+7.72%,62,"2,799",unch,174.38%,0.9973,Call,10/29/25
31.00,+85.03%,175.70,176.65,177.60,147.23,unch,unch,0,263,unch,187.40%,0.9955,Call,10/22/25
31.50,+84.79%,174.30,175.58,176.85,149.90,unch,unch,0,220,unch,0.00%,0.0000,Call,10/15/25
32.00,+84.54%,173.80,175.53,177.25,150.95,unch,unch,0,191,unch,172.17%,0.9968,Call,10/20/25
32.50,+84.30%,173.30,175.03,176.75,150.00,unch,unch,0,769,unch,170.25%,0.9968,Call,10/16/25
33.00,+84.06%,172.80,174.53,176.25,148.60,unch,unch,0,452,unch,168.36%,0.9968,Call,10/15/25
33.50,+83.82%,172.30,174.03,175.75,149.10,unch,unch,0,140,unch,166.49%,0.9969,Call,10/15/25
34.00,+83.58%,171.80,173.55,175.30,148.80,unch,unch,0,232,unch,167.29%,0.9966,Call,09/29/25
34.50,+83.34%,171.30,173.05,174.80,148.30,unch,unch,0,253,unch,165.49%,0.9966,Call,10/21/25
35.00,+83.10%,170.90,172.55,174.20,158.80,unch,unch,0,"1,222",unch,163.71%,0.9966,Call,10/28/25
35.50,+82.85%,170.30,171.95,173.60,147.50,unch,unch,0,220,unch,149.04%,0.9980,Call,09/29/25
36.00,+82.61%,169.85,171.48,173.10,175.25,+29.96,+20.62%,4,852,unch,151.05%,0.9977,Call,10/29/25
36.50,+82.37%,169.35,170.98,172.60,146.45,unch,unch,0,102,unch,149.21%,0.9977,Call,10/21/25
37.00,+82.13%,168.85,170.50,172.15,144.70,unch,unch,0,598,unch,150.90%,0.9974,Call,10/15/25
37.50,+81.89%,168.35,170.00,171.65,145.50,unch,unch,0,339,unch,149.15%,0.9975,Call,10/21/25
38.00,+81.65%,167.85,169.58,171.30,140.43,unch,unch,0,699,unch,156.00%,0.9965,Call,09/25/25
38.50,+81.40%,167.35,169.00,170.65,66.50,unch,unch,0,335,unch,145.67%,0.9976,Call,N/A
39.00,+81.16%,167.75,168.50,169.25,168.47,+23.73,+16.39%,200,856,unch,139.28%,0.9981,Call,10/29/25
39.50,+80.92%,166.35,168.00,169.65,130.46,unch,unch,0,450,unch,142.22%,0.9977,Call,09/09/25
40.00,+80.68%,166.75,167.50,168.25,167.49,+7.49,+4.68%,200,"6,846",-10,139.00%,0.9979,Call,10/29/25
40.50,+80.44%,165.40,167.03,168.65,143.53,unch,unch,0,"1,096",unch,142.27%,0.9974,Call,10/17/25
41.00,+80.20%,165.80,166.58,167.35,139.63,unch,unch,0,"2,014",unch,146.44%,0.9967,Call,10/15/25
41.50,+79.96%,164.40,166.05,167.70,139.90,unch,unch,0,"1,263",unch,142.13%,0.9971,Call,08/28/25
42.00,+79.71%,164.80,165.55,166.30,165.53,+5.53,+3.46%,600,"3,731",-2,138.06%,0.9974,Call,10/29/25
42.50,+79.47%,164.30,165.03,165.75,150.20,unch,unch,0,"2,037",unch,135.78%,0.9976,Call,10/09/25
43.00,+79.23%,163.80,164.55,165.30,149.00,unch,unch,0,"3,011",unch,137.46%,0.9972,Call,10/27/25
43.50,+78.99%,163.30,164.05,164.80,143.20,unch,unch,0,"2,663",unch,135.92%,0.9973,Call,10/24/25
44.00,+78.75%,161.90,163.55,165.20,158.20,unch,unch,0,"1,537",-1,134.38%,0.9973,Call,10/28/25
44.50,+78.51%,161.40,163.05,164.70,138.45,unch,unch,0,"1,421",unch,132.85%,0.9974,Call,09/29/25
45.00,+78.27%,161.85,162.55,163.25,162.58,+5.08,+3.23%,600,"8,208",-7,134.96%,0.9969,Call,10/29/25
45.50,+78.02%,160.45,162.08,163.70,139.95,unch,unch,0,"1,046",unch,132.93%,0.9971,Call,09/30/25
46.00,+77.78%,160.80,161.55,162.30,148.32,unch,unch,0,"2,183",-1,128.28%,0.9976,Call,10/28/25
46.50,+77.54%,159.45,161.18,162.90,147.50,unch,unch,0,713,unch,139.74%,0.9956,Call,10/10/25
47.00,+77.30%,158.95,160.60,162.25,146.82,unch,unch,0,"1,098",-17,131.43%,0.9968,Call,10/28/25
47.50,+77.06%,158.45,160.20,161.95,140.43,unch,unch,0,"1,022",unch,139.05%,0.9953,Call,10/10/25
48.00,+76.82%,158.85,159.70,160.55,130.88,unch,unch,0,"8,064",unch,137.75%,0.9953,Call,10/15/25
48.50,+76.57%,158.40,159.20,160.00,140.89,unch,unch,0,"8,406",unch,136.46%,0.9954,Call,10/08/25
49.00,+76.33%,157.05,158.20,159.35,132.60,unch,unch,0,729,unch,0.00%,0.0000,Call,10/22/25
49.50,+76.09%,157.35,158.10,158.85,132.75,unch,unch,0,"10,220",unch,124.50%,0.9971,Call,10/17/25
50.00,+75.85%,156.90,157.63,158.35,158.00,+6.25,+4.12%,6,"30,073",-4,149.90%,0.9915,Call,10/29/25
50.50,+75.61%,156.35,157.10,157.85,157.97,+25.17,+18.95%,100,"10,910",unch,121.75%,0.9972,Call,10/29/25
51.00,+75.37%,155.00,156.65,158.30,132.47,unch,unch,0,556,unch,125.81%,0.9964,Call,10/20/25
51.50,+75.13%,154.50,156.25,158.00,131.45,unch,unch,0,361,unch,132.65%,0.9948,Call,10/15/25
52.00,+74.88%,154.00,155.75,157.50,129.44,unch,unch,0,"1,505",unch,131.46%,0.9948,Call,10/14/25
52.50,+74.64%,153.50,155.15,156.80,147.85,unch,unch,0,770,-2,121.99%,0.9965,Call,10/28/25
53.00,+74.40%,153.05,154.78,156.50,124.21,unch,unch,0,"1,024",unch,130.79%,0.9945,Call,09/11/25
53.50,+74.16%,152.55,154.18,155.80,145.15,unch,unch,0,"1,668",unch,121.90%,0.9962,Call,10/28/25
54.00,+73.92%,152.05,153.70,155.35,128.05,unch,unch,0,659,unch,122.89%,0.9958,Call,10/21/25
54.50,+73.68%,151.55,153.20,154.85,130.00,unch,unch,0,"1,307",unch,121.70%,0.9958,Call,10/20/25
55.00,+73.44%,151.40,152.65,153.90,155.53,+9.80,+6.72%,137,"9,115",-6,115.71%,0.9968,Call,10/29/25
55.50,+73.19%,150.55,152.20,153.85,116.98,unch,unch,0,955,unch,119.34%,0.9960,Call,09/02/25
56.00,+72.95%,150.90,151.75,152.60,132.20,unch,unch,0,"3,357",unch,122.18%,0.9951,Call,10/10/25
56.50,+72.71%,149.55,151.20,152.85,127.25,unch,unch,0,164,unch,117.00%,0.9961,Call,09/30/25
57.00,+72.47%,149.05,150.70,152.35,129.50,unch,unch,0,859,unch,115.84%,0.9961,Call,10/24/25
57.50,+72.23%,148.60,150.23,151.85,117.39,unch,unch,0,427,unch,116.85%,0.9957,Call,10/06/25
58.00,+71.99%,149.00,149.75,150.50,128.35,unch,unch,0,"3,429",unch,117.72%,0.9953,Call,10/24/25
